,movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
0,Oppenheimer,2023,180,8.6,88,325264,
1,Interstellar,2014,169,8.7,74,1963681,188.02
2,Spider-Man: Across the Spider-Verse,2023,140,8.8,86,211502,
3,Inception,2010,148,8.8,74,2450362,292.58
4,The Dark Knight,2008,152,9.0,84,2760101,534.86
5,The Shawshank Redemption,1994,142,9.3,82,2781973,28.34
6,The Prestige,2006,130,8.5,66,1385823,53.09
7,The Godfather,1972,175,9.2,100,1936963,134.97
8,Pulp Fiction,1994,154,8.9,95,2134470,107.93
9,Memento,2000,113,8.4,83,1279523,25.54
10,The Dark Knight Rises,2012,164,8.4,78,1764904,448.14
11,Inglourious Basterds,2009,153,8.3,69,1513455,120.54
12,Schindler's List,1993,195,9.0,95,1399923,96.9
13,Good Will Hunting,1997,126,8.3,70,1016490,138.43
14,Avengers: Endgame,2019,181,8.4,78,1203833,858.37
15,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,618435,190.24
16,Fight Club,1999,139,8.8,67,2217159,37.03
17,The Departed,2006,151,8.5,85,1371997,132.38
18,Goodfellas,1990,145,8.7,92,1207020,46.84
19,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1934955,315.54
20,Joker,2019,122,8.4,59,1385301,335.45
21,Se7en,1995,127,8.6,65,1721449,100.13
22,Parasite,2019,132,8.5,96,876778,53.37
23,The Silence of the Lambs,1991,118,8.6,86,1484191,130.74
24,Alien,1979,117,8.5,89,913636,78.9
25,Django Unchained,2012,165,8.4,81,1623094,162.81
26,Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85,1008048,248.16
27,Gladiator,2000,155,8.5,67,1552863,187.71
28,Requiem for a Dream,2000,102,8.3,71,870142,3.64
29,American Beauty,1999,122,8.3,84,1181585,130.1
30,Saving Private Ryan,1998,169,8.6,91,1441025,216.54
31,Back to the Future,1985,116,8.5,87,1255541,210.61
32,2001: A Space Odyssey,1968,149,8.3,84,693484,56.95
33,Whiplash,2014,106,8.5,89,923030,13.09
34,Forrest Gump,1994,142,8.8,82,2163779,330.25
35,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,1038494,112.0
36,The Matrix,1999,136,8.7,73,1979333,171.48
37,12 Angry Men,1957,96,9.0,97,825862,4.36
38,Léon: The Professional,1994,110,8.5,64,1202475,19.5
39,Aliens,1986,137,8.4,84,739543,85.16
40,Oldboy,2003,101,8.4,77,604632,0.71
41,Terminator 2: Judgment Day,1991,137,8.6,75,1135626,204.84
42,Apocalypse Now,1979,147,8.4,94,688510,83.47
43,The Shining,1980,146,8.4,66,1062271,44.02
44,Braveheart,1995,178,8.3,68,1063962,75.6
45,The Pianist,2002,150,8.5,85,870133,32.57
46,The Lord of the Rings: The Return of the King,2003,201,9.0,94,1906760,377.85
47,Reservoir Dogs,1992,99,8.3,81,1053713,2.83
48,The Godfather Part II,1974,202,9.0,90,1316577,57.3
49,Avengers: Infinity War,2018,149,8.4,68,1145483,678.82
